run_name,model,method,observed_unique_clients,completed_client_updates,gemm_records,total_gemm_flops,gemm_flops_per_client_update,total_gemm_gflops,gemm_gflops_per_client_update,forward_records,backward_input_records,backward_weight_records,forward_flops,backward_input_flops,backward_weight_flops,forward_gflops,backward_input_gflops,backward_weight_gflops
Qwen_Qwen2.5_14B_lora_8bs,Qwen_Qwen2.5_14B_lora_8bs,unknown,1,9,94950,9206747596062720,1022971955118080.0,9206747.59606272,1022971.95511808,38970,38700,17280,4603195623997440,4601232689725440,2319282339840,4603195.62399744,4601232.68972544,2319.28233984
llama_8b_lora_8bs,llama_8b_lora_8bs,unknown,1,9,63270,5020763553792000,557862617088000.0,5020763.553792,557862.617088,26010,25740,11520,2510538198220800,2508973984972800,1251370598400,2510538.1982208,2508973.9849728,1251.3705984
